Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
D07,SYBR,,Std-02,,Normal,27.30758674,28.29362714,1.043574289,1,0,1,0,60,
D08,SYBR,,Std-04,,Day 1,26.44992127,26.96229024,0.783580321,1,0,1,0,60,
D09,SYBR,,Std-06,,Day 3,27.18065687,27.63382139,0.544351546,1,0,1,0,60,
D10,SYBR,,Std-08,,Day 3,28.07406912,27.96798856,0.890457286,1,0,1,0,60,
D11,SYBR,,Std-10,,Day 7,27.96967749,28.95426046,0.915848391,1,0,1,0,60,
D12,SYBR,,Std-12,,Day 14,30.33163869,29.92795056,0.853754563,1,0,1,0,60,
E01,SYBR,,Std-01,,Normal,28.11868322,27.77041746,0.942283455,1,0,1,0,60,
E02,SYBR,,Std-03,,Day 1,27.3957126,26.74862706,0.434899923,1,0,1,0,60,
E03,SYBR,,Std-05,,Day 3,28.50154829,27.63290533,0.649374007,1,0,1,0,60,
E04,SYBR,,Std-07,,Day 3,27.54458374,28.09246689,0.984043864,1,0,1,0,60,
E05,SYBR,,Std-09,,Day 7,28.81453795,29.0000551,0.84249713,1,0,1,0,60,
E06,SYBR,,Std-11,,Day 14,29.41667658,29.66929569,0.692862688,1,0,1,0,60,
E07,SYBR,,Std-02,,Normal,29.93616647,28.29362714,1.043574289,1,0,1,0,60,
E08,SYBR,,Std-04,,Day 1,26.72349533,26.96229024,0.783580321,1,0,1,0,60,
E09,SYBR,,Std-06,,Day 3,28.21055673,27.63382139,0.544351546,1,0,1,0,60,
E10,SYBR,,Std-08,,Day 3,27.30919571,27.96798856,0.890457286,1,0,1,0,60,
E11,SYBR,,Std-10,,Day 7,28.99797504,28.95426046,0.915848391,1,0,1,0,60,
E12,SYBR,,Std-12,,Day 14,29.58805111,29.92795056,0.853754563,1,0,1,0,60,
F01,SYBR,,Std-01,,Normal,27.63264394,27.77041746,0.942283455,1,0,1,0,60,
F02,SYBR,,Std-03,,Day 1,26.22577863,26.74862706,0.434899923,1,0,1,0,60,
F03,SYBR,,Std-05,,Day 3,26.97525255,27.63290533,0.649374007,1,0,1,0,60,
F04,SYBR,,Std-07,,Day 3,29.2685626,28.09246689,0.984043864,1,0,1,0,60,
F05,SYBR,,Std-09,,Day 7,27.94306743,29.0000551,0.84249713,1,0,1,0,60,
F06,SYBR,,Std-11,,Day 14,29.10753738,29.66929569,0.692862688,1,0,1,0,60,
F07,SYBR,,Std-02,,Normal,28.00618743,28.29362714,1.043574289,1,0,1,0,60,
F08,SYBR,,Std-04,,Day 1,26.08762907,26.96229024,0.783580321,1,0,1,0,60,
F09,SYBR,,Std-06,,Day 3,27.41785802,27.63382139,0.544351546,1,0,1,0,60,
F10,SYBR,,Std-08,,Day 3,29.13279695,27.96798856,0.890457286,1,0,1,0,60,
F11,SYBR,,Std-10,,Day 7,28.10097929,28.95426046,0.915848391,1,0,1,0,60,
F12,SYBR,,Std-12,,Day 14,29.17197825,29.92795056,0.853754563,1,0,1,0,60,
G02,SYBR,,Std-13,,Day 21,27.5420974,27.7958719,0.183860584,1,0,1,0,60,
G03,SYBR,,Std-13,,Day 21,27.75189764,27.7958719,0.183860584,1,0,1,0,60,
G04,SYBR,,Std-13,,Day 21,27.89511342,27.7958719,0.183860584,1,0,1,0,60,
G05,SYBR,,Std-13,,Day 21,28.03536137,27.7958719,0.183860584,1,0,1,0,60,
G06,SYBR,,Std-13,,Day 21,27.75488968,27.7958719,0.183860584,1,0,1,0,60,
G07,SYBR,,Std-14,,Day 21,27.91018434,28.04272595,0.381577315,1,0,1,0,60,
G08,SYBR,,Std-14,,Day 21,28.31206096,28.04272595,0.381577315,1,0,1,0,60,
G09,SYBR,,Std-14,,Day 21,28.52136325,28.04272595,0.381577315,1,0,1,0,60,
G10,SYBR,,Std-14,,Day 21,27.92713716,28.04272595,0.381577315,1,0,1,0,60,
G11,SYBR,,Std-14,,Day 21,27.54288405,28.04272595,0.381577315,1,0,1,0,60,
H11,SYBR,,NTC,,Day 21,NaN,0,0,NaN,NaN,0,0,60,
H12,SYBR,,NTC,,Day 1,NaN,0,0,NaN,NaN,0,0,60,
